code,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_023,alpha_024,alpha_025,alpha_026,alpha_027,alpha_028,alpha_029,alpha_030,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_060,alpha_061,alpha_062,alpha_064,alpha_065,alpha_066,alpha_068,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_078,alpha_083,alpha_084,alpha_085,alpha_086,alpha_088,alpha_092,alpha_094,alpha_095,alpha_096,alpha_098,alpha_099,alpha_101
000001.XSHE,0.23845508,0.5922981,-0.608963,-0.11111111,-0.35742577,0.13994152,-0.21666667,-0.35930493,-0.18,0.38630636,0.06273129,-0.18,-0.12965556,0.08789942,-1.42236374,-0.18594231,-0.25404595,-0.06300756,-1.38532624,-0.18401197,1.0,0.31279173,-0.04,-0.27,0.08429011,-0.55901699,1.0,0.0001657,1.4127451,0.0978902,1.98331481,0.00515862,0.55583543,0.53178381,0.0,2.09022561,0.69991768,-0.32938396,-0.45181276,-0.04928324,0.01543947,0.32575758,0.525,0.30996356,,1.0,-0.29439993,-0.18,-0.62002243,-0.18,-0.05544329,0.07692308,-0.8546053,-0.25645221,-0.42569052,-0.24367376,-0.00068529,1.0,0.0,0.0,0.0,-1.37965817,0.0,0.75,48.73608389,-0.875,0.0,1.0,0.98392637,-1.8356168,0.74848896,0.88276984,-1.0,0.80800448,0.47222222,-0.38623097,1.0,-0.375,-0.22072982,0.0,0.45130641
000002.XSHE,-0.11740834,-0.35218855,-0.58963997,-0.11111111,-0.03365729,0.50841512,0.55,-0.01961883,-0.02,0.85508261,0.76540873,0.02,-0.27191263,0.14336993,-1.50952561,-0.21422571,-0.00436097,-0.0308037,1.32763932,-0.01420585,1.0,-0.07250725,0.0,-6.38,0.49901988,-0.248452,-1.0,-0.00043514,1.5487395,0.11644576,0.48958623,0.00561545,0.89728519,0.80593671,0.29003906,1.215292,0.91499129,-0.00366088,-0.58849129,0.00803669,0.02726571,0.09054512,0.35,-0.30435989,,1.0,0.00483674,1.0,-0.79528884,1.0,0.05967516,-0.01175214,-0.96815131,-0.72443411,-0.43029488,-1.22195085,-0.00105866,1.0,-1.0,-1.0,0.0,-0.21149715,0.0,1.0,0.70222411,-0.9375,-1.0,0.0,0.77591652,-9.87163062,1.99175951,0.7090557,0.0,0.64175763,0.16666667,-0.0938942,1.0,-1.0,-0.66953933,-1.0,0.13679891
000063.XSHE,0.23845508,-0.7355287,0.24298912,-1.0,-0.96559355,-0.29846486,-1.0,-0.97393498,-2.53,0.00560067,0.02559004,-2.53,-0.36852422,-0.29487091,-1.94126786,-0.29179502,-0.65692324,-0.99047886,-1.77597312,-0.10377928,-1.0,-0.22943183,-3.59,-12.67,0.8125175,-0.7484552,1.0,-0.00015212,1.01512605,0.12244686,1.03698044,0.0031642,0.02882732,0.25511061,0.0,3.13815801,0.68542618,-0.71995701,-1.4908421,-0.58801597,-0.32553374,0.01750614,0.1125,-0.70696333,,-1.0,-0.96787419,-2.53,-0.58553001,-2.53,-0.82896108,-0.16901408,-0.64469566,-0.87562749,-0.46900727,-1.12719897,-0.00070038,1.0,0.0,-1.0,-1.0,-1.98038666,-1.0,,0.61678255,-0.98571028,-1.0,0.0,0.35052976,-6.09928736,0.43795849,0.96076602,0.0,0.11223062,0.05555556,-0.98208788,0.0,-1.0,0.65696756,-1.0,0.92820309
000069.XSHE,-0.11740834,-0.55599717,0.05647734,-0.11111111,-0.11788604,-0.39589639,0.11666667,-0.17180493,0.04,0.91276953,0.06685648,0.04,-0.07840941,-0.06141882,-1.45001354,-0.29879586,-0.00771986,-0.02128255,1.1674601,-0.06446648,1.0,0.01948173,0.21,-1.34,0.94819378,-0.54173634,1.0,0.00020186,1.77661064,0.31649243,2.56936265,0.0058613,0.93702771,0.96947634,0.22705078,2.61296382,1.4717616,-0.00684214,-0.05920714,-0.08994199,0.01860189,1.5376,0.65625,-0.18027153,,1.0,0.4062555,0.04,-0.69854178,0.04,-0.02507533,0.21428571,-0.82352941,-0.05646922,-0.00708906,-0.11527641,-0.00081342,1.0,0.0,0.0,0.0,-0.37064537,0.0,1.0,3.0611998,-0.6875,0.0,0.0,0.93801268,-2.27385913,1.0,0.95832408,0.0,0.90008396,0.94444444,-0.20962029,1.0,-0.875,0.20739719,0.0,0.0
000100.XSHE,-0.39574587,0.26811518,-0.506656,-0.22222222,-0.01322777,-0.6388793,0.65833333,-0.07174888,-0.02,0.8441613,0.00383708,0.02,-0.22122655,-0.44136523,-1.26659342,-0.17782134,-0.00202132,-0.12657519,1.63679642,-0.05812013,1.0,0.03504587,0.07,-0.87,0.33043965,-0.94684198,-1.0,-0.00040355,1.94103641,0.12941521,2.38774458,0.00575249,0.58550238,0.74236908,0.11279297,1.9416476,1.30071216,-0.02077951,-0.66590877,-0.23479148,-0.00121764,16.75789474,0.5,-0.65087436,,-0.02,0.24845473,-0.02,-0.93606282,-0.02,-0.02229628,-0.83333333,-0.79204168,-0.52005565,-0.19903959,-0.07614279,-0.00109417,1.0,0.0,0.0,0.0,-0.42243392,0.0,1.0,0.55364418,-1.0,0.0,1.0,0.93000155,-0.37472371,1.18099266,0.20828185,-1.0,0.4679541,0.16666667,-0.42684872,0.0,-0.25,0.08532928,0.0,0.70422535
000157.XSHE,0.23845508,-0.56233891,-0.69603074,-0.22222222,-0.06810415,0.26655108,-0.86666667,-0.18105381,-0.06,0.71352562,0.79483271,-0.06,-0.49733968,0.15876621,-0.98502869,-0.52282274,-0.11208817,-0.28983478,-1.63063568,-0.1870612,1.0,-0.09215931,-0.04,-0.9,0.45645477,-0.63564173,-1.0,0.00019779,1.41218487,0.11109682,2.30998468,0.00547418,0.46053736,0.7908149,0.00283813,2.12511733,0.96803359,-0.40001068,-0.64055792,-0.00985537,-0.00501938,5.85042735,0.8,-0.32163829,,-0.06,0.20472326,-0.06,-0.9444756,-0.06,-0.10539121,0.0,-0.82379338,-0.35523159,-0.79570086,-0.05730307,-0.00056335,1.0,0.0,-1.0,0.0,-0.5266648,0.0,1.0,1.49123954,-0.875,-1.0,0.0,0.88240398,-0.16512269,0.99238239,0.9608291,0.0,0.80212706,0.05555556,-0.17716205,1.0,-0.46153846,-0.10238492,0.0,0.72072072
000166.XSHE,0.23845508,-0.0020458,0.01252072,-0.88888889,-0.52328441,-0.70968597,-1.0,-0.51569507,-0.49,0.13343601,0.47795223,-0.49,-0.68020162,-0.69974917,-2.05437539,-0.61439373,-0.53051093,-0.78409409,-1.67656119,-0.49524887,-1.0,-0.00503607,-0.48,-1.5,0.8125175,-0.96824584,-1.0,0.00026584,0.71932773,0.02350328,1.66256508,0.00439929,0.03582424,0.0725287,0.0,3.28690123,0.25880119,-0.71477149,-1.47127757,-0.40172927,-0.03028055,0.69437939,0.125,-0.75294053,,-0.49,-0.36408528,-0.49,-0.99158721,-0.49,-0.1274825,0.0,-0.65987938,-0.52123982,-0.46536017,-0.27007362,-0.00070069,1.0,0.0,0.0,0.0,-1.39259363,0.0,1.0,1.070689,-0.70271785,0.0,0.0,0.83721012,-0.65172447,0.88845962,0.91660892,0.0,0.08984047,0.41666667,-0.64272719,1.0,-1.0,0.90431803,-1.0,0.84148728
000333.XSHE,-0.39574587,0.73683328,-0.57002283,-0.11111111,-0.95462306,0.02136953,0.39166667,-0.00952915,0.25,0.9624755,0.92533801,-0.25,-0.00952114,0.00453003,-1.74148609,-0.56174741,-0.00145413,-0.01232148,1.40716886,-0.02066035,1.0,-0.87571764,0.18,-9.41,0.99299916,-0.01484785,1.0,-0.00029332,1.43333333,0.23002532,0.0225788,0.00615955,0.97089281,0.9974797,0.27685547,3.48775716,1.71947684,-0.00057573,-0.14075631,-0.1566245,0.10293429,0.04082806,0.9,-0.41217341,,1.0,0.01055453,0.25,-0.30846887,1.0,-0.18710725,0.12006699,-0.83907719,0.25786156,-0.00055936,-1.79571005,-0.00093604,0.0,-1.0,0.0,-1.0,-0.67983562,0.0,1.0,1071.45701484,-1.0,0.0,1.0,0.96582068,-0.03685818,10.23800518,0.9794867,-1.0,0.5,0.25,-0.71839607,0.0,-0.75,-0.35334341,0.0,-0.18697614
000338.XSHE,-0.39574587,-0.17449282,0.20756002,-0.11111111,-0.2651673,0.28771049,-0.26666667,-0.242713,0.04,0.79641557,0.23475641,0.04,-0.46317558,0.08193827,-1.05558442,-0.46261551,-0.0058022,-0.07476897,-1.81741809,-0.0171843,1.0,-0.27051074,0.14,-2.09,0.95799496,-0.57054433,1.0,8.161e-05,1.43529412,0.33864293,2.22702997,0.00478585,0.87097677,0.98683842,0.13842773,3.38276192,0.85674962,-0.0117976,-0.21489225,-0.18303669,-0.00509608,0.61019567,0.55,-0.54949718,,1.0,-0.27275744,0.04,-0.37408861,0.04,-0.06141473,-0.99655172,-0.88265104,-0.15141472,-0.00286472,-0.30201888,-0.00099067,1.0,0.0,0.0,0.0,-1.28775567,0.0,1.0,5.63012784,-0.9375,0.0,0.0,0.96659891,-1.55924117,1.65958691,0.93692717,-1.0,0.5,0.5,-0.25328855,1.0,-0.75,-0.62176296,0.0,0.15576324
000402.XSHE,-0.39574587,-0.62282656,-0.7359019,-0.11111111,-0.0532012,0.0545349,-0.29166667,-0.06446188,-0.13,0.48319798,0.31919779,0.13,-0.04536544,0.03046685,-0.55320448,-0.02856343,-0.09715753,-0.12433492,-1.15065808,-0.13906433,1.0,-0.11663617,0.03,-1.59,0.8125175,-0.6022163,1.0,-0.00040076,1.53277311,0.21796067,2.42953628,0.00600805,0.51665267,0.19490339,0.01074219,1.15293174,1.24266899,-0.13359643,-0.77828204,-0.00679543,0.0077947,1.19105691,0.35,-0.45435951,,1.0,-0.03383495,-0.13,-0.89955107,-0.13,-0.02917838,-0.07142857,-0.91497288,-0.26089849,-0.23479191,-0.19895328,-0.00062609,0.0,0.0,0.0,0.0,-0.94204726,0.0,1.0,2.20008145,-1.0,-1.0,0.0,0.97719645,-0.06680973,1.06174592,0.8182792,-1.0,0.99496222,0.94444444,-0.29072807,1.0,-0.84615385,-0.17553999,-1.0,0.86092715
