code,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_023,alpha_024,alpha_025,alpha_026,alpha_027,alpha_028,alpha_029,alpha_030,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_060,alpha_061,alpha_062,alpha_064,alpha_065,alpha_066,alpha_068,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_078,alpha_083,alpha_084,alpha_085,alpha_086,alpha_088,alpha_092,alpha_094,alpha_095,alpha_096,alpha_098,alpha_099,alpha_101
000001.XSHE,0.16552386,-0.38010499,-0.57741151,-0.55555556,-0.20648324,-0.17973824,-1.0,-0.73851688,0.24,0.85628086,0.68798009,-0.24,-0.29492455,-0.04081371,-2.06360348,-0.24609053,-0.02636732,-0.72455418,-1.91826659,-0.01232616,-1.0,0.46352602,0.13,0.1,0.96845858,-0.89642146,-1.0,-0.00016449,1.01312826,0.05819957,-0.21478986,0.00600487,0.71091607,0.814764,0.13330078,2.36998612,1.37168504,-0.16444054,-0.32156834,-0.37013776,0.03225486,1.04414587,0.4875,-0.31167989,,0.24,-0.61298891,0.24,-0.75645959,0.24,-0.05225727,2.52727273,-0.22117098,-0.66318007,-0.00505668,0.03896773,0.00043724,0.0,-1.0,-1.0,-1.0,-0.97424284,0.0,1.0,0.62800183,-0.78104396,-1.0,0.0,0.29681339,0.91462231,1.05748721,0.69752823,0.0,0.5,0.5,-0.85494913,0.0,-1.0,-0.60922064,-1.0,-0.70539419
000002.XSHE,-0.4100384,0.65041136,-0.34473436,-0.11111111,-0.00511295,-0.28990694,0.98333333,-0.02573326,1.06,0.98121229,1.77620859,1.06,-0.17832647,-0.02849717,-1.62739282,-0.13360768,-0.00185939,-0.3303155,1.80992869,-7.26e-06,1.0,1.23500335,0.0,1.2,0.99616018,-0.84920778,1.0,0.00030776,1.9641582,0.15030133,0.40011015,0.00660554,0.91195831,0.67755214,0.90820313,4.03543003,1.46323324,-0.00651591,-0.0125168,-0.11972348,0.15515139,0.81268791,1.0,0.74445869,,1.0,0.12835668,1.0,-0.925,1.0,0.94889742,1.72,-0.31357559,-0.01104929,-0.00044594,0.04299763,0.00021744,1.0,-1.0,0.0,0.0,-0.18231311,0.0,1.0,6.31474095,-1.0,0.0,1.0,0.84789859,0.4074331,52.16264372,0.92565988,-1.0,0.66401536,0.16666667,-0.29064779,1.0,-1.0,-0.69031284,0.0,-0.71829405
000063.XSHE,-0.22682392,-0.7710491,-0.18551025,-0.44444444,-0.04583627,-0.14655439,-1.0,-0.75401217,0.41,0.93088316,0.03565822,-0.41,-0.29986283,-0.03098486,-1.61053255,-0.22908093,-0.00756966,-0.59643347,-1.97915524,-0.02127834,-1.0,1.03108691,0.57,0.48,0.99204608,-0.70710678,1.0,-0.00012636,0.26619061,0.26779417,0.10774016,0.00612514,0.69720241,0.90422613,0.08886719,3.52852496,1.75967773,-0.17223393,-0.07829023,-0.32931174,0.06472398,1.01910079,0.2625,-0.22769553,,0.41,-0.81952764,0.41,-0.52458116,0.41,-0.44530993,,-0.0577671,-0.66819683,-0.0019482,0.3271918,0.00033319,0.0,-1.0,0.0,-1.0,-1.60847287,0.0,0.75,0.7626112,-0.83186813,0.0,1.0,0.54847584,6.79801799,1.05266287,0.24996274,0.0,0.5674712,0.16666667,,1.0,-1.0,0.00452799,0.0,-0.68965517
000069.XSHE,0.16552386,0.25405887,-0.16723798,-0.11111111,-0.07148871,-0.14859471,0.83333333,-0.1613171,0.27,0.87794844,1.00589243,0.27,-0.06392318,-0.01060808,-1.75926536,-0.16982167,-0.00919814,-0.09958848,1.71996709,-0.02834004,1.0,0.17949451,0.0,0.21,0.95364783,-0.97991187,1.0,0.0003044,1.51683603,0.15303798,2.10944958,0.00610079,0.94349973,0.41053787,0.68588257,2.54810658,1.78462416,-0.0041888,-0.22504687,-0.13004301,0.05486742,1.87918089,0.95,0.0749523,,1.0,0.54209724,0.27,-0.97113799,1.0,0.08717773,-8.66666667,-0.13666696,0.59404481,-0.0077296,0.04660719,0.00015004,1.0,-1.0,0.0,0.0,-0.83520908,-1.0,1.0,0.42185599,-1.0,0.0,1.0,0.94980806,0.15284521,1.8205642,0.43147032,0.0,0.5,0.16666667,-0.08447614,0.0,-0.69230769,-0.74711855,0.0,-0.75697211
000100.XSHE,-0.0633571,-0.3492563,-0.45578689,-0.66666667,-0.19424002,-0.39510044,-1.0,-0.38101826,0.07,0.58187054,0.04434329,-0.07,-0.29327846,-0.12063473,-1.39409831,-0.23017833,-0.10172737,-0.62085048,-1.76247943,-0.09686612,-1.0,0.03121038,0.06,0.07,0.90866703,-0.96308682,-1.0,-0.00015297,0.96454271,0.19889612,1.82624013,0.00611644,0.88946791,0.86169045,0.19775391,1.58885439,1.56424597,-0.06297059,-0.15016422,-0.11558539,0.01206806,8.03389831,0.225,-0.46172278,,1.0,-0.28477388,0.07,-0.96701484,0.07,-0.01774657,,0.0,-0.71122526,-0.01170317,0.05223067,0.00038316,1.0,0.0,0.0,0.0,-0.90758532,0.0,1.0,2.44926468,-0.75,-1.0,1.0,0.67914061,0.64027816,1.02622948,0.88540838,0.0,0.29402084,0.55555556,-0.3987932,1.0,-1.0,0.43880351,-1.0,-0.98591549
000157.XSHE,-0.22682392,0.09401658,-0.28334673,-0.44444444,-0.10760295,-0.53899493,-1.0,-0.10542335,-0.01,0.25575974,0.01125054,0.01,-0.31659808,-0.06866932,-2.38279136,-0.51303155,-0.10298917,-0.2175583,-1.92402633,-0.25728456,-1.0,-0.28921994,0.25,0.28,0.12918267,-0.48795004,1.0,0.00038402,1.47022796,0.05814419,1.96949022,0.00625674,0.30403182,0.72200878,0.08544922,2.69443267,1.16729376,-0.39567043,-0.33424303,-0.2077188,-0.00444966,1.56745363,0.2625,-0.58096405,,1.0,-0.14345539,-0.01,-0.5959846,-0.01,-0.01030828,-3.25,-0.44444444,-0.01277452,-0.24551684,0.01039207,0.00014747,1.0,-1.0,0.0,-1.0,-1.0705005,-1.0,,0.34172073,-0.875,-1.0,1.0,0.38008723,0.60151274,1.08312542,0.77566411,0.0,0.40674712,0.16666667,-0.57082093,0.0,-0.53846154,-0.32231065,-1.0,0.0
000166.XSHE,0.16552386,0.31767577,0.11965,-0.22222222,-0.15797202,-0.3645514,-1.0,-0.30962922,0.03,0.41758091,0.47100344,-0.03,-0.1829904,-0.2308225,-0.48077042,-0.17256516,-0.04613974,-0.32016461,1.67059792,-0.22219991,-1.0,0.0671821,0.0,0.05,0.57268239,-0.23543548,1.0,0.00042342,1.19071684,0.13636489,1.85394971,0.00568334,0.50534833,0.26673985,0.05053711,2.90985112,1.08571089,-0.10506656,-1.01113921,-0.11337453,0.00040859,2.18034993,0.525,0.37321867,,1.0,-0.20425296,0.03,-0.39163916,0.03,0.00523533,0.0,-0.41242142,0.03135059,-0.01614721,0.03641364,-1.991e-05,1.0,0.0,0.0,0.0,-0.55320706,-1.0,1.0,1.28912339,-0.6875,0.0,1.0,0.97631272,0.12519054,1.04971668,0.97365232,0.0,0.5,0.16666667,,1.0,,0.49753019,-1.0,-0.58823529
000333.XSHE,0.16552386,-0.54196158,0.1828843,-0.11111111,-0.03307113,-0.49436353,-1.0,-0.97675706,0.5,0.94720241,1.06068076,-0.5,-0.25349794,-0.22559917,-0.71384496,-0.29218107,-0.00594513,-0.69272977,-1.74355458,-0.04628453,-1.0,-0.49474089,-1.28,-1.27,0.98848053,-0.875,1.0,-0.0002427,0.25520461,0.04858988,-0.31018156,0.00534735,0.57131103,0.54994512,0.03222656,2.65060647,1.84327284,-0.35554771,-0.08054595,-0.58493234,0.16388697,0.99127498,0.1875,-0.74864809,,-1.0,-0.93211138,0.5,-0.71974697,0.5,-0.47301591,6.51385928,-0.13235449,-0.89019586,-0.00328549,0.34815121,0.00039293,0.0,-1.0,-1.0,-1.0,-1.12604081,0.0,0.25,0.1978642,-0.96840659,0.0,0.0,0.86756612,4.12909765,0.69795364,0.66025912,0.0,0.55019199,0.16666667,,0.0,-0.375,-0.62870472,-1.0,-0.39055404
000338.XSHE,0.16552386,0.49547176,-0.43767915,-0.11111111,-0.18753237,0.26382661,-1.0,-0.18317654,0.2,0.82597367,0.77953344,-0.2,-0.2005487,0.06432675,-1.62494779,-0.20438957,-0.04251112,-0.36241427,1.9171695,-0.42578115,-1.0,-0.15059603,-0.1,0.11,0.9580362,-0.9608713,1.0,-8.542e-05,1.28448229,0.04545417,-0.20979731,0.006275,0.86588042,0.43578485,0.1071167,2.14162817,1.68766355,-0.04360613,-0.31926308,-0.19958209,0.05543471,1.15900464,0.75,-0.68919025,,0.2,-0.05378287,0.2,-0.72552255,0.2,-0.25006692,-16.25,-0.16268659,0.20061215,-0.01394573,0.08911611,0.00043299,0.0,0.0,-1.0,-1.0,-1.0418611,0.0,1.0,0.12422481,-0.625,-1.0,0.0,0.86627894,0.13716083,1.04704751,0.73705393,0.0,0.89906747,0.16666667,,0.0,-0.25,0.33150384,-1.0,-0.84870849
000402.XSHE,0.16552386,0.66631481,-0.70583465,-0.11111111,-0.12423687,-0.39882804,0.025,-0.52850028,0.17,0.79772353,0.92461959,0.17,-0.03127572,-0.05563005,-0.11998866,-0.04883402,-0.01629436,-0.00740741,1.61300055,-0.07798242,1.0,0.21473256,0.0,0.14,0.77235326,-0.375,1.0,2.368e-05,1.1326284,0.11495315,2.32508009,0.00595215,0.83379046,0.55351262,0.4119873,3.06840488,1.51795751,-0.01228309,-0.66349428,-0.19861688,0.0278144,1.67222579,0.175,0.43867131,,1.0,0.00267785,0.17,-0.69884488,0.17,-0.06297312,-7.0,-0.18135714,0.83539381,-0.03482923,0.04813529,-4.51e-05,1.0,0.0,-1.0,0.0,-0.48261506,-1.0,1.0,239.19280597,-0.5625,0.0,1.0,0.99918732,0.04050913,1.04852679,0.99872429,0.0,0.5,0.5,-0.08447614,1.0,-0.92307692,-0.09124588,0.0,-0.71823204
