code,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_023,alpha_024,alpha_025,alpha_026,alpha_027,alpha_028,alpha_029,alpha_030,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_060,alpha_061,alpha_062,alpha_064,alpha_065,alpha_066,alpha_068,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_078,alpha_083,alpha_084,alpha_085,alpha_086,alpha_088,alpha_092,alpha_094,alpha_095,alpha_096,alpha_098,alpha_099,alpha_101
000001.XSHE,-0.3616562,-0.2275887,-0.11109166,-0.33333333,-0.47406098,-0.40209607,-1.0,-0.65433071,0.06,0.55378877,0.06172948,0.06,-0.46307934,-0.1220818,-0.88223111,-0.35153181,-0.03103169,-0.24509034,1.13937966,-0.02218052,-1.0,-0.01680429,0.0,-0.74,0.65999215,0.21821789,1.0,0.0004257,1.38310413,0.14858087,2.03652619,0.00881223,0.5600471,0.68735271,0.11425781,3.29777971,0.86961163,-0.04985857,-0.10891788,-0.02222819,0.00788247,1.02389486,0.13125,-0.57562813,,1.0,-0.41442863,0.06,-0.99681402,0.06,0.00365371,0.66666667,-0.47513886,-0.19739588,-0.01368308,-0.00534182,-0.00043429,1.0,0.0,0.0,0.0,-1.243083,0.0,1.0,4.40856062,-0.6875,0.0,1.0,0.91154326,-0.0030283,1.17489755,0.84515018,-1.0,0.99254317,0.55555556,-0.01412873,1.0,-0.76923077,0.64059972,0.0,-0.45801527
000002.XSHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000009.XSHE,-0.06711146,-0.83379539,-0.36003708,-0.88888889,-0.13617847,-0.64232946,-1.0,-0.4492126,0.04,0.4958775,0.71331211,-0.04,-0.50785546,-0.13018146,-2.80390218,-0.46229379,-0.1223999,-0.58248233,1.27718885,-0.06649012,-1.0,-0.02837022,0.0,-1.71,0.81429132,-0.89871703,-1.0,-6.315e-05,1.34361493,0.13458533,2.255799,0.00817547,0.46978022,0.17714061,0.09375,2.50904453,1.38404952,-0.34652228,-1.19931148,-0.31247814,0.00103305,1.64122807,0.15,-0.37794952,,1.0,-0.44944553,1.0,-0.58863275,1.0,0.24241853,-0.25,-0.31261528,-0.87438776,-0.10754085,0.30700983,0.00037354,0.0,0.0,0.0,-1.0,-1.53241107,-1.0,,0.37075088,-0.73116574,-1.0,0.0,0.64377008,0.99953138,0.8122524,0.45436401,-1.0,0.26687598,0.11111111,-0.79094165,1.0,-0.875,0.35461325,0.0,-0.10230179
000027.XSHE,-0.3616562,-0.22219868,-0.07969375,-0.66666667,-0.32283362,-0.50102844,-1.0,-0.65748031,0.02,0.43148803,0.13962278,-0.02,-0.7427337,-0.0802905,-1.59124305,-0.78397486,-0.06815863,-0.31146897,1.35100118,-0.03093196,-1.0,-0.02611547,0.0,-0.17,0.43816254,-0.29880715,-1.0,-0.0004968,1.57937132,0.14508871,2.13193671,0.0083725,0.51766091,0.87038492,0.01464844,1.98239838,1.03659178,-0.10997868,-0.32844954,-0.03657724,-0.00064957,4.20192308,0.125,-0.69461261,,1.0,-0.43803238,0.02,-0.7518797,0.02,0.00601178,1.5,-0.25586829,-0.69919129,-0.25809713,0.045831,-2.404e-05,1.0,0.0,0.0,0.0,-0.90737813,-1.0,0.93333333,1.89672921,-0.54718477,0.0,0.0,0.88242501,0.06558966,0.99777105,0.85793145,-1.0,0.81318681,0.16666667,,1.0,-1.0,-0.0422998,0.0,-0.37037037
000039.XSHE,-0.06711146,-0.38471085,0.09453773,-0.55555556,-0.16459195,-0.05065602,-1.0,-0.36496063,0.13,0.70435807,0.66637296,0.13,-0.1496465,-0.01671291,-0.21152277,-0.04202671,-0.00902398,-0.23959152,1.16411464,-0.03738092,-1.0,-0.42387335,0.0,-1.03,0.68590499,-0.73192505,1.0,8.991e-05,1.49312377,0.05011093,2.29085109,0.00837135,0.66797488,0.56009427,0.10070801,4.00328479,1.40417938,-0.01043697,-0.32010863,-0.08851754,0.01373585,1.35646688,0.20625,-0.81951647,,1.0,-0.13647586,0.13,-0.85025886,1.0,0.01688575,2.3974359,-0.25068876,-0.60219804,-0.06863969,0.11319805,-0.00037599,1.0,0.0,0.0,0.0,-1.05098814,0.0,1.0,1.77546658,-0.30452022,0.0,1.0,0.96800474,0.11603411,1.02256518,0.83787289,0.0,0.93210361,0.33333333,-0.16483516,1.0,-0.84615385,-0.10037672,0.0,-0.47808765
000046.XSHE,-0.31043956,-0.00060603,-0.81309836,-0.66666667,-0.30997101,-0.1307446,-1.0,-0.73464567,0.12,0.69748724,0.84343866,-0.12,-0.94579733,-0.0182303,-2.5787505,-0.97368421,-0.11598027,-0.10565593,1.12053396,-0.01034213,-1.0,-0.06134711,0.0,-0.08,0.58853553,-0.84611411,-1.0,0.00012266,1.21748527,0.22578109,2.01802953,0.00843915,0.81200942,0.98586017,0.23730469,1.93025651,1.00081023,-0.06960857,-0.30944722,-0.03370478,0.02804449,2.04581152,0.1,-0.94837773,,1.0,-0.43755143,0.12,-0.83068993,0.12,0.0,13.5,-0.07158206,-0.26711783,-0.00784251,0.54685044,-0.00025132,1.0,-1.0,0.0,-1.0,-1.52911726,0.0,1.0,0.63637152,-0.6962728,-1.0,0.0,0.66085175,0.62683034,0.9951363,0.62631235,-1.0,0.89952904,0.33333333,-0.22880691,1.0,-1.0,-0.41720364,-1.0,-0.92715232
000060.XSHE,-0.06711146,-0.02509569,-0.30203234,-0.77777778,-0.13986837,-0.55858554,-1.0,-0.83622047,0.08,0.61189635,0.88981022,0.08,-0.35585232,-0.11057624,-2.02227904,-0.43440691,-0.17142447,-0.31382561,1.18060463,-0.3295932,-1.0,-0.37153902,0.0,-0.96,0.84962701,-0.97590007,-1.0,-0.00026053,1.51355599,0.12916301,2.21423316,0.0083804,0.77511774,0.16771406,0.11816406,2.18925289,0.9175275,-0.13111555,-0.87128808,-0.18989793,0.0167734,2.66531714,0.1875,-0.82108584,,1.0,-0.36657579,0.08,-0.66455194,0.08,0.0495799,3.2,-0.16626284,-0.86395819,-0.05331445,0.2052161,0.00040517,1.0,-1.0,0.0,-1.0,-0.87523057,-1.0,0.25,1.06206794,-0.71173672,0.0,0.0,0.7550317,0.40092396,0.96801879,0.64805277,0.0,0.5,0.47222222,-0.65074526,1.0,-1.0,0.30953458,-1.0,-0.37383178
000061.XSHE,-0.45113815,-0.32914452,-0.50439121,-0.66666667,-0.1603229,-0.49897271,-1.0,-0.28582677,0.4,0.88633687,0.0120807,-0.4,-0.93794187,-0.41019242,-1.82396052,-0.9171249,-0.00212259,-0.02120974,1.14801728,-0.18083137,-1.0,-0.01504579,-0.14,-1.18,0.91597958,-0.86075337,-1.0,-0.00041215,1.09882122,0.13356639,1.92880445,0.00847984,0.96467818,0.95168892,0.24609375,2.87980799,1.3708205,-0.00404379,-0.02709718,-0.19133383,0.11561253,1.72742475,0.35,-0.75432154,,0.4,0.0743145,0.4,-0.96272799,0.4,-0.01020573,,0.0,-0.82892546,-0.01371437,0.12647585,0.00057603,0.0,-1.0,0.0,-1.0,-1.72490119,0.0,1.0,1.14043577,-0.6875,-1.0,1.0,0.42533342,1.78262954,1.74366359,0.3271626,0.0,0.43249608,0.33333333,-0.65934066,0.0,-1.0,0.20215963,-1.0,-0.93418259
000063.XSHE,-0.3616562,-0.0472278,0.65900029,-0.44444444,-0.24228071,-0.72287151,-1.0,-0.40472441,0.13,0.71142521,0.22585602,0.13,-0.49175177,-0.1396908,-1.3632647,-0.38334643,-0.00960496,-0.18067557,1.08402042,-0.11608283,-1.0,0.02870547,0.0,0.0,0.80879466,-0.48995593,1.0,7.514e-05,1.34852652,0.13444546,2.27940511,0.00826092,0.71978022,0.55734485,0.21972656,2.8807431,1.2968008,-0.00881043,-0.67079627,-0.18402479,0.02883141,1.13793103,0.20625,-0.71541768,,1.0,-0.23984405,1.0,-0.61258409,1.0,0.00639576,0.95,-0.22167126,-0.60592071,-0.03368783,0.10945788,0.00031648,1.0,-1.0,0.0,0.0,-1.25006588,-1.0,1.0,0.1432336,-0.5,0.0,1.0,0.28523917,0.33738277,1.13425796,0.31319748,0.0,0.97880691,0.72222222,-0.01412873,1.0,-1.0,-0.21775867,0.0,-0.73298429
000069.XSHE,-0.45113815,-0.76350825,-0.27499399,-0.55555556,-0.36430626,-0.26756333,-1.0,-0.63976378,0.03,0.46152336,0.06580412,-0.03,-0.60644148,-0.12001466,-1.74493088,-0.56323645,-0.00163385,-0.28279654,1.24931292,-0.00715372,-1.0,-0.03214218,0.0,-0.24,0.52885748,-0.08574929,1.0,0.00064956,1.47072692,0.15645557,1.9921212,0.00831337,0.51844584,0.19835035,0.01739502,3.76329523,0.80921589,-0.01513176,-0.15333817,-0.00977812,0.00963992,3.95454545,0.0625,-0.65737051,,1.0,-0.39562073,0.03,-0.82154213,0.03,0.00071692,3.5,-0.22744665,-0.86610001,-0.09195095,0.22672823,-0.00013781,1.0,0.0,0.0,0.0,-0.91844532,0.0,1.0,0.94981932,-0.5,0.0,0.0,0.97438204,0.01832832,1.07451102,0.75718213,0.0,0.91405024,0.41666667,-0.03924647,1.0,-1.0,0.91647789,0.0,-0.32967033
